VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,"1/1/2018, 2:10:02 AM","1/1/2018, 2:25:01 AM",1,1.69,1,N,114,137,1,10.5,0.5,0.5,1.2,0,0.3,13,-,-
1,"1/1/2018, 2:10:56 AM","1/1/2018, 2:25:31 AM",1,0.9,1,N,161,170,1,10,0.5,0.5,1,0,0.3,12.3,-,-
1,"1/1/2018, 2:45:18 AM","1/1/2018, 2:58:18 AM",1,1.5,1,N,170,113,1,9.5,0.5,0.5,1.11,0,0.3,11.91,-,-
1,"1/1/2018, 2:26:25 AM","1/1/2018, 2:34:36 AM",1,1,1,N,158,90,1,6.5,0.5,0.5,1.55,0,0.3,9.35,-,-
1,"1/1/2018, 2:36:33 AM","1/1/2018, 2:42:59 AM",1,0.7,1,N,234,107,2,6,0.5,0.5,0,0,0.3,7.3,-,-
1,"1/1/2018, 2:58:23 AM","1/1/2018, 3:27:41 AM",1,3.8,1,N,249,143,1,20,0.5,0.5,4.25,0,0.3,25.55,-,-
1,"1/1/2018, 2:33:42 AM","1/1/2018, 2:50:59 AM",5,1.8,1,N,264,79,2,11.5,0.5,0.5,0,0,0.3,12.8,-,-
1,"1/1/2018, 2:55:10 AM","1/1/2018, 3:03:22 AM",1,1.3,1,N,79,232,2,7.5,0.5,0.5,0,0,0.3,8.8,-,-
1,"1/1/2018, 2:16:59 AM","1/1/2018, 2:22:33 AM",1,1,1,N,239,238,1,6,0.5,0.5,1.46,0,0.3,8.76,-,-
1,"1/1/2018, 2:25:05 AM","1/1/2018, 2:41:18 AM",1,4.4,1,N,43,158,1,16,0.5,0.5,5.15,0,0.3,22.45,-,-
1,"1/1/2018, 2:53:15 AM","1/1/2018, 3:17:11 AM",1,2.4,1,N,234,50,2,15.5,0.5,0.5,0,0,0.3,16.8,-,-
2,"1/1/2018, 2:24:35 AM","1/1/2018, 2:42:12 AM",1,4.09,1,N,181,148,1,16,0.5,0.5,3.46,0,0.3,20.76,-,-
2,"1/1/2018, 2:45:24 AM","1/1/2018, 2:53:25 AM",1,1.55,1,N,148,107,1,7.5,0.5,0.5,1.76,0,0.3,10.56,-,-
2,"1/1/2018, 2:57:31 AM","1/2/2018, 2:53:25 AM",1,0,1,N,107,107,1,2.5,0.5,0.5,0.76,0,0.3,4.56,-,-
1,"1/1/2018, 2:57:00 AM","1/1/2018, 3:01:37 AM",1,1.1,1,N,48,143,2,6,0.5,0.5,0,0,0.3,7.3,-,-
1,"1/1/2018, 2:52:50 AM","1/1/2018, 3:07:33 AM",1,4.6,1,N,132,139,2,16.5,0.5,0.5,0,0,0.3,17.8,-,-
1,"1/1/2018, 2:13:58 AM","1/1/2018, 2:21:57 AM",2,2.1,1,N,237,238,1,9,0.5,0.5,1.5,0,0.3,11.8,-,-
1,"1/1/2018, 2:26:15 AM","1/1/2018, 2:36:51 AM",1,2,1,N,238,262,1,9.5,0.5,0.5,2.15,0,0.3,12.95,-,-
